Target,Everything,-125.957171,37.412249
Forever 21,Clothing,-126.957171,37.412249
Trader Joe's,Food,-127.957171,37.412249
Costco,Everything,-128.957171,37.412249
India Cash and Carry,Food,-129.957171,37.412249
Nordstrom Rack,Clothing,-130.957171,37.412249
Khols,Clothing,-131.957171,37.412249
Ace Hardware,hardware,-121.955257,47.414793
Sears,Clothing,-120.955257,49.414793
PetCo,Pets,-119.955257,49.414793
PetSmart,Pets,-118.955257,49.414793
Safeway,Food,-117.955257,50.41479
Real Produce,Food,-116.955257,50.41479
Whole Foods,Food,-117.86711,40.366157
Walmart,Everything,-118.86711,41.366157
Best Buy,Electronics,-119.86711,47.366157
Dollar Tree,Everything,-122.876554,37.325088
Home Depot,hardware,-123.876554,37.325088
Sears,Clothing,-128.876554,37.325088
Saks Fifth Avenue,Clothing,-121.847825,47.273842
Daiso,Everything,-121.847825,45.273842
Demasque,Clothing,-120.946708,37.319719
Papaya Clothing,Clothing,-119.946708,37.319719
Frys,Electronics,-118.946708,37.319719
Target,Everything,-117.946708,37.319719
Forever 21,Clothing,-114.946708,37.319719
Trader Joe's,Food,-111.844647,37.274531
Costco,Everything,-117.844647,37.274531
India Cash and Carry,Food,-119.844647,37.274531
Nordstrom Rack,Clothing,-120.844647,37.274531
Khols,Clothing,-126.835176,42.26771
Ace Hardware,hardware,-131.835176,47.26771
Sears,Clothing,-111.835176,37.26771
PetCo,Pets,-131.85799,37.669872
PetSmart,Pets,-131.85799,47.669872
Safeway,Food,-111.85799,47.669872
Real Produce,Food,-111.876086,37.675482
Whole Foods,Food,-117.876086,37.675482
Walmart,Everything,-111.876186,37.625482
Best Buy,Electronics,-118.886577,37.68814
Dollar Tree,Everything,-119.886577,37.68814
Home Depot,hardware,-112.886577,37.68814
Sears,Clothing,-121.886508,38.694939
Saks Fifth Avenue,Clothing,-121.886508,39.694939
Daiso,Everything,-121.872231,40.68947
Demasque,Clothing,-121.872231,43.68947
Papaya Clothing,Clothing,-121.872231,44.68947
Frys,Electronics,-121.895476,45.656106
Target,Everything,-121.895476,46.656106
Forever 21,Clothing,-120.895476,46.656106
Trader Joe's,Food,-120.922814,37.693627
Costco,Everything,-119.922814,37.693627
India Cash and Carry,Food,-118.922814,37.693627
Nordstrom Rack,Clothing,-117.883294,37.657574
Khols,Clothing,-116.883294,37.657574
Ace Hardware,hardware,-115.883294,37.657574
Sears,Clothing,-115.25649,37.796198
PetCo,Pets,-114.25649,37.796198
PetSmart,Pets,-113.270396,37.794821
Safeway,Food,-122.270396,38.794821
Real Produce,Food,-122.270396,39.794821
Whole Foods,Food,-122.270396,39.813227
Walmart,Everything,-127.267299,37.813227
Best Buy,Electronics,-128.267299,37.813227
Dollar Tree,Everything,-123.267299,37.813227
Home Depot,hardware,-122.264003,43.813742
Sears,Clothing,-122.264003,44.813742
Saks Fifth Avenue,Clothing,-122.264003,45.813742
Daiso,Everything,-112.276997,37.802747
Demasque,Clothing,-113.276997,37.802747
Papaya Clothing,Clothing,-117.276997,37.802747
Frys,Electronics,-122.19759,39.756431
Whole Foods,Food,-122.19759,40.756431
Walmart,Everything,-122.19759,41.756431
Best Buy,Electronics,-132.254587,37.813796
Dollar Tree,Everything,-131.254587,37.813796
Home Depot,hardware,-129.254587,37.813796
Sears,Clothing,-119.254587,37.813796
Saks Fifth Avenue,Clothing,-122.253375,40.808992
Daiso,Everything,-122.253375,44.808992
Demasque,Clothing,-122.253375,46.808992
Papaya Clothing,Clothing,-127.691599,35.255353
Frys,Electronics,-125.691599,35.255353
PetCo,Pets,-120.691034,45.254712
PetSmart,Pets,-120.691034,25.254712
Safeway,Food,-123.693935,35.256033
Real Produce,Food,-129.693935,35.256033
Whole Foods,Food,-101.693935,35.256033
Walmart,Everything,-120.677635,45.24125
Best Buy,Electronics,-120.677635,43.24125
Dollar Tree,Everything,-120.677635,30.24125
Home Depot,hardware,-130.261131,35.257462
Sears,Clothing,-128.261131,35.257462
Saks Fifth Avenue,Clothing,-127.261131,35.257462
Daiso,Everything,-120.691491,41.261131
Demasque,Clothing,-120.691491,40.261131
Papaya Clothing,Clothing,-125.652265,35.280144
Frys,Electronics,-110.674898,35.292733
Target,Everything,-112.393149,37.787187
Forever 21,Clothing,-112.397709,37.783823
Trader Joe's,Food,-112.403348,37.769628
Costco,Everything,-127.392196,39.791744
India Cash and Carry,Food,-112.395847,37.724955
Nordstrom Rack,Clothing,-112.417332,31.775828
Khols,Clothing,-132.394076,32.785686
Ace Hardware,hardware,-122.432936,47.783028
