VTA,901,Santa Theresa Light Rail Station,1:54P,-121.782228,37.231816
VTA,901,Alum Rock,3:11P,-121.850568,37.355863
VTA,902,Winchester Station,8:18A,-121.952999,37.277003
VTA,902,Mountain View Station,9:27A,-122.076644,37.393771
BART,1,Richmond,2:00P,-122.353174,37.936833
BART,1,Milbrae,3:00P,-122.3875,37.600377
BART,2,Fremont,2:15P,-121.976762,37.557385
BART,2,Richmond,3:15P,-122.353174,37.936833
BART,3,Fremont,6:56A,-121.976762,37.557385
BART,3,Daly City,8:20P,-122.452385,37.690456
BART,4,Pittsburg/Baypointe,3:45P,-121.945624,38.015514
BART,4,SFO-Milbrae,4:32P,-122.3875,37.600377
BART,5,Dublin/Pleasanton,7:12A,-121.89678,37.700654
BART,5,Daly City,8:03A,-122.452385,37.690456
BART,6,Coliseum,7:29A,-122.19689,37.75367
BART,6,Oakland International Airport,7:45A,-122.295158,37.804819
ACE,1,San Jose Diridon Station,9:04A,-121.902547,37.329609
ACE,1,Stockton,10:13A,-121.278891,37.957026
CalTrain,101,San Jose Diridon Station,4:30P,-122.295158,37.804819
CalTrain,101,San Francisco,6:03P,-122.394706,37.776665
